filename,cluster
KB_JB838_1950-07-20_01-00010.txt,5
KB_JB838_1950-07-24_01-00006.txt,0
KB_JB838_1950-07-27_01-00007.txt,2
KB_JB838_1950-08-01_01-00003.txt,2
KB_JB838_1950-08-09_01-00006.txt,2
KB_JB838_1950-08-23_01-00003.txt,2
KB_JB838_1950-08-28_01-00005.txt,0
KB_JB838_1950-09-04_01-00005.txt,0
KB_JB838_1950-09-04_01-00006.txt,0
KB_JB838_1950-09-08_01-00012.txt,1
KB_JB838_1950-09-09_01-00011.txt,1
KB_JB838_1950-09-17_01-00011.txt,3
KB_JB838_1950-09-21_01-00009.txt,3
KB_JB838_1950-10-01_01-00004.txt,2
KB_JB838_1950-10-05_01-00012.txt,1
KB_JB838_1950-10-09_01-00005.txt,0
KB_JB838_1950-10-15_01-00016.txt,5
KB_JB838_1950-10-15_01-00018.txt,1
KB_JB838_1950-10-16_01-00004.txt,0
KB_JB838_1950-10-17_01-00006.txt,0
KB_JB838_1950-10-27_01-00014.txt,1
KB_JB838_1950-10-28_01-00005.txt,2
KB_JB838_1950-10-29_01-00006.txt,2
KB_JB838_1950-10-30_01-00003.txt,2
KB_JB838_1950-11-04_01-00012.txt,5
KB_JB838_1950-11-04_01-00014.txt,1
KB_JB838_1950-11-06_01-00006.txt,0
KB_JB838_1950-11-09_01-00012.txt,5
KB_JB838_1950-11-14_01-00004.txt,2
KB_JB838_1950-11-21_01-00004.txt,2
KB_JB838_1950-11-24_01-00013.txt,1
KB_JB838_1950-11-24_01-00015.txt,4
KB_JB838_1950-11-28_01-00003.txt,2
KB_JB838_1950-11-28_01-00012.txt,4
KB_JB838_1950-11-29_01-00013.txt,4
KB_JB838_1950-12-02_01-00004.txt,2
KB_JB838_1950-12-06_01-00001.txt,2
KB_JB838_1950-12-14_01-00011.txt,5
KB_JB838_1950-12-16_01-00003.txt,2
KB_JB838_1950-12-17_01-00024.txt,2
KB_JB838_1950-12-19_01-00014.txt,2
KB_JB838_1950-12-20_01-00013.txt,4
KB_JB838_1950-12-24_01-00017.txt,4
KB_JB838_1950-12-28_01-00012.txt,1
KB_JB838_1950-12-29_01-00006.txt,2
KB_JB838_1950-12-29_01-00014.txt,4
KB_JB838_1951-01-04_01-00009.txt,5
KB_JB838_1951-01-06_01-00004.txt,2
KB_JB838_1951-01-07_01-00002.txt,2
KB_JB838_1951-01-11_01-00004.txt,2
KB_JB838_1951-01-13_01-00012.txt,5
KB_JB838_1951-01-16_01-00010.txt,1
KB_JB838_1951-01-17_01-00005.txt,2
KB_JB838_1951-01-21_01-00018.txt,4
KB_JB838_1951-01-23_01-00009.txt,5
KB_JB838_1951-01-23_01-00011.txt,1
KB_JB838_1951-01-25_01-00010.txt,5
KB_JB838_1951-01-26_01-00005.txt,2
KB_JB838_1951-01-28_01-00005.txt,2
KB_JB838_1951-02-03_01-00013.txt,5
KB_JB838_1951-02-06_01-00005.txt,2
KB_JB838_1951-02-14_01-00009.txt,5
KB_JB838_1951-02-16_01-00006.txt,2
KB_JB838_1951-02-16_01-00010.txt,3
KB_JB838_1951-02-24_01-00011.txt,5
KB_JB838_1951-02-24_01-00015.txt,1
KB_JB838_1951-03-06_01-00003.txt,2
KB_JB838_1951-03-06_01-00010.txt,5
KB_JB838_1951-03-06_01-00014.txt,4
KB_JB838_1951-03-15_01-00016.txt,4
KB_JB838_1951-03-16_01-00018.txt,2
KB_JB838_1951-03-17_01-00004.txt,2
KB_JB838_1951-03-22_01-00012.txt,1
KB_JB838_1951-03-27_01-00002.txt,2
KB_JB838_1951-03-28_01-00007.txt,2
KB_JB838_1951-03-31_01-00002.txt,2
KB_JB838_1951-03-31_01-00018.txt,4
KB_JB838_1951-04-09_01-00003.txt,2
KB_JB838_1951-04-11_01-00010.txt,5
KB_JB838_1951-04-13_01-00016.txt,2
KB_JB838_1951-04-15_01-00019.txt,1
KB_JB838_1951-04-21_01-00007.txt,2
KB_JB838_1951-04-29_01-00006.txt,2
KB_JB838_1951-04-29_01-00009.txt,0
KB_JB838_1951-05-01_01-00002.txt,2
KB_JB838_1951-05-03_01-00001.txt,2
KB_JB838_1951-05-05_01-00003.txt,2
KB_JB838_1951-05-10_01-00004.txt,2
KB_JB838_1951-05-13_01-00015.txt,5
KB_JB838_1951-05-16_01-00005.txt,2
KB_JB838_1951-05-23_01-00012.txt,4
KB_JB838_1951-05-24_01-00009.txt,5
KB_JB838_1951-05-25_01-00020.txt,2
KB_JB838_1951-05-26_01-00011.txt,5
KB_JB838_1951-05-26_01-00014.txt,4
KB_JB838_1951-05-27_01-00016.txt,5
KB_JB838_1951-05-31_01-00010.txt,5
KB_JB838_1951-06-05_01-00003.txt,2
KB_JB838_1951-06-08_01-00001.txt,2
KB_JB838_1951-06-10_01-00006.txt,2
KB_JB838_1951-06-13_01-00002.txt,2
KB_JB838_1951-06-17_01-00012.txt,3
KB_JB838_1951-06-19_01-00002.txt,2
KB_JB838_1951-06-19_01-00005.txt,2
KB_JB838_1951-06-24_01-00016.txt,5
KB_JB838_1951-07-04_01-00009.txt,5
KB_JB838_1951-07-07_01-00008.txt,0
KB_JB838_1951-07-13_01-00011.txt,5
KB_JB838_1951-07-13_01-00012.txt,5
KB_JB838_1951-07-13_01-00013.txt,1
KB_JB838_1951-07-20_01-00002.txt,2
